,Name,brand,ratings,volume_price
1058,빅,러쉬,4.09,"310g / 35,000원"
1059,새티니크 글로시 리페어 샴푸,암웨이,4.19,"750ml / 31,000원"
1060,컨디셔닝 린스 극손상 케어,팬틴,4.31,"500ml / 10,900원"
1061,애프터올 슬릭 컨디셔너,컨텐트리,4.33,"300ml / 35,000원"
1062,프리즈 이즈 미라큘러스 리커버리 컨디셔너,존프리다,4.27,"250ml / 17,000원"
1063,칼라무스 데미지 가드 노워시 컨디셔너,와이티디,4.37,"150ml / 24,000원"
1064,프로페셔널 디펜스 컨디셔너,비욘드,4.13,"450ml / 29,000원"
1065,데미지 레미디™ 리스트럭처링 컨디셔너,아베다,4.24,"200ml / 38,000원"
1066,데미지케어 컨디셔너,츠바키,4.08,500ml / 가격미정
1067,실크 리페어 컨디셔너 [시그니처],엘라스틴,4.04,"550ml / 9,900원"
1068,마이 헤어 레시피 리페어링 컨디셔너 [손상모발용],이니스프리,4.07,"200ml / 10,000원"
1069,자윤 서향 컨디셔너,리엔,4.18,"500ml / 13,900원"
1070,토탈 리페어5 컨디셔너,로레알파리,3.93,"450ml / 12,000원"
1071,새티니크 스무드 모이스처 컨디셔너,암웨이,4.5,"750ml / 26,000원"
1072,퍼퓸 퓨어브리즈 컨디셔너,엘라스틴,3.84,"600ml / 6,900원"
1073,올바른 린스바,동구밭,4.66,"100g / 9,500원"
1074,러블리 앤 로맨틱 퍼퓸 린스,케라시스,4.26,"600ml / 5,010원"
1075,아메리칸 크림,러쉬,3.79,"100g / 17,000원"
1076,데미지 클리닉 컨디셔너,케라시스,3.79,"750ml / 4,900원"
1077,퍼퓸 컨디셔너 포에버 피오니,미쟝센,4.12,"600ml / 13,000원"
1078,자윤 백단향 컨디셔너,리엔,3.85,"500ml / 13,900원"
1079,퍼펙트 세럼 린스 오리지널,미쟝센,3.96,"680ml / 13,000원"
1080,닥터본드 알엑스 플렉스 No.6 앰플 트리트먼트,이지엔,4.54,"350ml / 25,000원"
1081,리페어포스 키토 트리트먼트,아모스프로페셔널,4.45,250ml / 가격미정
1082,트리트먼트 더 프리미엄,헤드스파7,4.44,"210ml / 50,000원"
1083,살롱 플러스 클리닉 10 트리트먼트 [손상 모발용],미쟝센,4.4,"250ml / 12,900원"
1084,딥 데미지 트리트먼트 EX,어노브,4.41,"207ml / 26,000원"
1085,프리미엄 리페어 마스크,츠바키,4.43,"180g / 16,000원"
1086,울트라 프로틴 리페어 헤어팩,바이브랩,4.35,"200ml / 24,000원"
1087,오트 프로틴 트리트먼트,리비긴,4.35,"120ml / 19,000원"
1088,울트라 프로틴 노워시 앰플 트리트먼트 라이트,힐링버드,4.37,"200ml / 24,000원"
1089,LPP 단백질 트리트먼트 헤어팩,박준뷰티랩,4.38,"1,000ml / 49,000원"
1090,트리트먼트,헤드스파7,4.34,"200ml / 30,000원"
1091,헤어 트리트먼트 미라클 2X,모레모,4.34,"180ml / 15,000원"
1092,퍼펙트 3분 살롱팩,미쟝센,4.3,"300ml / 13,000원"
1093,토탈 리페어 5 인스턴트 미라클 헤어팩,로레알파리,4.23,"170ml / 7,900원"
1094,리커버리 밤 B,모레모,4.26,"120ml / 21,000원"
1095,피노 프리미엄 터치 헤어 마스크팩,시세이도,4.31,230g / 가격미정
1096,퍼펙트 베이스업 에센스,미쟝센,4.46,"230ml / 16,000원"
1097,오리지널 헤어팩 트리트먼트,제이숲,4.27,"1,000ml / 80,000원"
1098,블루밍 리커버리 헤어 밤,베네자임,4.25,"150ml / 15,000원"
1099,드림랭스 노 헤어컷 크림,로레알파리,4.26,"200ml / 18,000원"
1100,폴리젠 씨솔트 스케일러,닥터포헤어,4.47,"300g / 28,000원"
1101,애프터올 스칼프 수딩케어 트리트먼트,컨텐트리,4.31,"120ml / 18,000원"
1102,루트 레미디 스칼프 토닉,커리쉴,4.01,"100ml / 28,000원"
1103,프리미엄 토탈 헤어토닉,테라픽,4.03,"160ml / 45,000원"
1104,클로렐라 베러 루트 헤어토닉,달리프,3.86,"100ml / 24,000원"
1105,스위스 허벌 헤어 토닉,라우쉬,3.83,"200ml / 36,000원"
1106,로즈마리 액티브브이 안티헤어로스 토닉,아로마티카,4.25,"100ml / 22,000원"
1107,얼쓰 테라피 스칼프 퓨리파이어,밸르모나,3.73,"25ml*3 / 24,900원"
1108,스칼프 모이스처라이징 드라이 앰플,두피부,3.86,"250ml / 27,000원"
1109,포티샤 두피 세럼,르네휘테르,4.64,"100ml / 33,000원"
1110,녹차실감 인텐시브 토닉,아모스프로페셔널,4.21,"100ml / 30,000원"
1111,스칼프 모이스처라이징 오일리 앰플,두피부,4.03,"250ml / 27,000원"
1112,클로렐라 베러 루트 쿨링스프레이,달리프,4.14,"100ml / 24,000원"
1113,티테라피 두피팅처,피토더마,3.84,"80ml / 10,900원"
1114,오리지널 헤어 팅크처,라우쉬,4.3,"200ml / 47,000원"
1115,로즈마리 루트 인핸서,아로마티카,4.6,"100ml / 13,000원"
1116,폴리젠 토닉,닥터포헤어,3.81,"120ml / 18,000원"
1117,오투 스칼프 앰플,얼라이브랩,4.69,"25ml*2 / 12,000원"
1118,인바티 어드밴스드™ 스칼프 리바이탈라이저,아베다,3.6,"150ml / 85,000원"
1119,닥터트럽 인텐시브 케어 스칼프 토닉,시드물,3.91,"100ml / 22,400원"
1120,드라이샴푸 [클린&클래식 오리지널],바티스트,4.03,"200ml / 14,500원"
1121,드라이샴푸 [후레쉬],바티스트,3.97,"200ml / 14,500원"
1122,노워시 샴푸,헤드스파7,3.95,"100ml / 25,000원"
1123,드라이샴푸 [프룻티&치키 체리],바티스트,3.95,"200ml / 14,500원"
1124,드라이 샴푸 [프레쉬],코랩,3.93,"200ml / 11,900원"
1125,아쿠아민트 쿨세범 드라이샴푸,클로란,4.3,"150ml / 16,000원"
1126,드라이 샴푸 [프루티],코랩,4.15,"200ml / 11,900원"
1127,드라이샴푸 [플로랄],바티스트,4.0,"200ml / 14,500원"
1128,드라이 샴푸 [오리지널],코랩,5.0,"200ml / 11,900원"
1129,네틀 노세범 드라이 샴푸,클로란,4.09,"150ml / 16,000원"
1130,드라이샴푸 플러스 [헤븐리 볼륨],바티스트,3.51,"200ml / 15,500원"
1131,노웨이팅 드라이샴푸 [프레쉬],퓨어베스,4.07,"200ml / 14,900원"
1132,드라이 샴푸,모로칸오일,4.2,"205ml / 29,000원"
1133,노웨이팅 드라이샴푸 [스위트],퓨어베스,4.0,"200ml / 7,900원"
1134,인스턴트 드라이 샴푸 오리지날,프리맨,4.33,"50g / 7,500원"
1135,원 세컨드 드라이 파우더,더마슨,4.5,"20g / 29,800원"
1136,드라이 샴푸 [파라다이스],코랩,3.56,"200ml / 11,900원"
1137,클릭 프릭 리프레싱 드라이 샴푸,낫유어마더스,4.0,"198ml / 25,000원"
1138,오트밀크 볼륨 픽서 드라이샴푸,클로란,5.0,"150ml / 16,000원"
1139,프로-브이 오리지널 프레시 드라이 샴푸,팬틴,4.0,140g / 가격미정
1140,트리트먼트 오리지날,모로칸오일,4.5,"50ml / 36,000원"
1141,미스 디올 헤어 미스트,디올,4.5,"30ml / 62,000원"
1142,10 블룸오브샤론 헤어 오일,에이르보,4.43,"100ml / 50,000원"
1143,트리트먼트 라이트,모로칸오일,4.42,"50ml / 36,000원"
1144,퍼펙트 베이스업 에센스,미쟝센,4.38,"200ml / 7,500원"
1145,울트라 프로틴 헤어오일 리치,힐링버드,4.34,"100ml / 22,000원"
1146,실키 오일 세럼,커리쉴,4.34,"70ml / 23,000원"
1147,헤어 테라피,시드물,4.27,"150ml / 14,800원"
1148,컬링 에센스 2X,아모스프로페셔널,4.23,"150ml / 12,000원"
1149,레지스턴스 시몽 테르미크,케라스타즈,4.34,"150ml / 57,000원"
1150,엑스트라오디네리 오일 엑스트라 리치,로레알파리,4.21,"100ml / 19,000원"
1151,샹스 오 땅드르 헤어 미스트,샤넬,4.31,"35ml / 67,000원"
1152,시그니처 데미지 케어 컨센트레이트,에스테티카,4.31,"120ml / 27,000원"
1153,소프트닝 컨디셔너,아모스프로페셔널,4.24,"250ml / 8,000원"
1154,엑스트라오디네리 오일 리치,로레알파리,4.2,"100ml / 19,000원"
1155,토탈리페어5 세럼 프로엑스,로레알파리,4.25,"100ml / 14,000원"
1156,헤어비타민 헤어 트리트먼트 [로즈 포엠],엘립스,4.31,"1ml*6 / 3,500원"
1157,인텐스 컬 크림,모로칸오일,4.26,"300ml / 49,000원"
1158,프리즈 이즈 엑스트라 스트렝스 세럼,존프리다,4.2,"50ml / 21,000원"
1159,엑스트라오디네리 보태니컬 오일,로레알파리,4.16,"100ml / 19,000원"
